Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
44800	-708.8424	-692.2327	-16.60977	0.3012022	0.994727	0.00113891	0.004134	0.01184519
45000	-707.7172	-691.0057	-16.71146	0.3163201	0.997645	0.00092631	0.00142833	0.008032597
45200	-713.2991	-695.9404	-17.35866	0.3041198	0.994938	0.00383539	0.00122628	0.07016639
45400	-712.0537	-694.8112	-17.24253	0.330125	0.99245	0.00271568	0.00483425	0.04282231
45600	-713.307	-696.578	-16.72906	0.3261018	0.992155	0.00167851	0.00616659	0.001752481
45800	-710.6192	-694.3247	-16.29448	0.272197	0.997436	0.000678848	0.00188488	0.01021464
46000	-712.6173	-694.1959	-18.42136	0.2856777	0.990367	0.00858206	0.00105063	0.1688696
46200	-711.1866	-694.0719	-17.11475	0.283146	0.989478	0.00609454	0.00442783	0.06718978
46400	-716.2594	-698.9061	-17.35325	0.2841302	0.993018	0.00348381	0.00349784	0.0871667
46600	-714.3893	-697.3142	-17.0751	0.334971	0.994439	0.00203071	0.00352986	0.02292043
46800	-714.5534	-697.3789	-17.17448	0.3555208	0.9868	0.00696957	0.00623054	0.01393268
47000	-711.6561	-695.0722	-16.58396	0.3018628	0.995537	0.000553739	0.00390899	0.009596451
47200	-710.6763	-692.4343	-18.24197	0.3036592	0.992342	0.00166022	0.00599827	0.1396758
47400	-707.8781	-691.2143	-16.66382	0.3138135	0.985089	0.0132755	0.0016358	0.006259006
47600	-712.4455	-695.8685	-16.57704	0.2937594	0.98673	0.00498941	0.00828069	0.01540353
47800	-711.0843	-694.2035	-16.88088	0.3011582	0.985893	0.00824767	0.00585945	0.03356467
48000	-718.536	-697.4716	-21.06441	0.3442681	0.981013	0.0117076	0.00727956	0.3418057
48200	-710.8615	-693.8871	-16.97432	0.292563	0.99589	0.00198915	0.00212067	0.04832947
48400	-711.2995	-693.5374	-17.7621	0.2919817	0.985353	0.000622226	0.0140247	0.1120377
48600	-708.9911	-691.6039	-17.3872	0.3060958	0.991529	0.00713534	0.00133561	0.07149479
48800	-708.3509	-689.9694	-18.38145	0.3091546	0.997731	0.00133784	0.000930841	0.1533065
49000	-713.4813	-694.4203	-19.06102	0.2929045	0.998764	0.000342432	0.000893585	0.2199349
