Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
40000	-661.5342	-644.7516	-16.78258	0.3036449	0.97394	0.0173569	0.00870336	0.02506459
40200	-653.0133	-635.2484	-17.76492	0.3100562	0.986532	0.0126668	0.0008015	0.0975881
40400	-647.1044	-629.6783	-17.42611	0.3123455	0.996962	0.00203396	0.00100425	0.07071805
40600	-651.3221	-634.2381	-17.08408	0.3102633	0.993388	0.00220426	0.00440759	0.04213286
40800	-654.734	-637.7198	-17.01425	0.2855472	0.990942	0.00817658	0.000881531	0.05991783
41000	-644.721	-627.7785	-16.94247	0.3376205	0.999396	0.000499497	0.000104729	0.009537041
41200	-658.3402	-640.5189	-17.82135	0.3357697	0.994528	0.00157126	0.00390062	0.08343826
41400	-650.8231	-633.3207	-17.50249	0.3069981	0.996818	0.00163135	0.00155041	0.07741038
41600	-649.1954	-631.1615	-18.03387	0.3649562	0.995725	0.00220061	0.00207399	0.07576475
41800	-653.4735	-637.097	-16.37659	0.2863273	0.993832	0.00405031	0.0021181	0.005213419
42000	-648.7858	-631.1854	-17.60045	0.3487995	0.996386	0.000419779	0.00319453	0.0559871
42200	-649.2858	-632.8839	-16.40192	0.294398	0.996369	0.00213737	0.00149406	0.0008906499
42400	-656.1292	-638.1254	-18.00375	0.3330892	0.985928	0.00744724	0.00662462	0.09594323
42600	-648.109	-630.6591	-17.44992	0.2953065	0.997772	0.00185958	0.000368814	0.08407119
42800	-653.2186	-635.1802	-18.03841	0.3243436	0.982911	0.00612803	0.0109613	0.1119686
43000	-648.3548	-630.2002	-18.15454	0.312735	0.996383	0.00327613	0.000340701	0.1319808
43200	-645.7183	-626.8605	-18.85774	0.3195362	0.997247	0.000867942	0.00188488	0.1838963
43400	-650.0613	-633.5366	-16.52464	0.2967115	0.991593	0.00795901	0.00044821	0.009158784
43600	-651.4581	-632.0916	-19.36646	0.3487305	0.998217	0.00103837	0.000745129	0.2011468
43800	-656.7597	-635.7919	-20.96779	0.2970353	0.991669	0.00662542	0.001706	0.3674475
44000	-649.9617	-633.1777	-16.78398	0.2944848	0.992028	0.00523986	0.00273228	0.03171445
44200	-649.439	-632.8113	-16.62774	0.3083125	0.995299	0.00236349	0.00233767	0.007817579
44400	-648.4757	-631.7402	-16.73548	0.3177791	0.998045	0.000804297	0.00115076	0.0089624
44600	-656.6094	-638.5991	-18.01033	0.3365406	0.993649	0.000712998	0.00563819	0.0989581
44800	-650.8468	-634.4113	-16.43555	0.2629669	0.994269	0.0016053	0.00412562	0.02920793
45000	-651.1559	-633.9646	-17.19122	0.3422753	0.993049	0.00215789	0.00479333	0.02622058
45200	-656.5898	-639.2407	-17.34904	0.330998	0.99289	0.00358419	0.00352564	0.05024717
45400	-655.6445	-639.4637	-16.18082	0.2691586	0.99824	0.000342638	0.00141745	0.003357936
45600	-649.9308	-632.3569	-17.57395	0.3390751	0.997195	0.00118818	0.00161639	0.06183888
45800	-649.6218	-632.8871	-16.73466	0.3175814	0.997203	0.00251714	0.000279589	0.009262785
46000	-652.4239	-634.6468	-17.77705	0.343511	0.991561	0.00382035	0.00461857	0.07722935
46200	-649.1068	-632.2004	-16.90641	0.3119091	0.997343	0.000803164	0.00185371	0.02725219
46400	-653.2621	-635.9836	-17.27854	0.28488	0.999094	0.000560117	0.000346147	0.07885353
46600	-647.8657	-629.7739	-18.09178	0.3128856	0.997289	0.000333155	0.00237753	0.1234173
46800	-647.8329	-630.7781	-17.05476	0.3084239	0.997823	0.00160182	0.000575161	0.04230965
47000	-659.165	-641.4966	-17.66841	0.3384942	0.979233	0.0148065	0.00596053	0.06736761
47200	-651.4586	-633.0199	-18.43867	0.3429614	0.995369	0.00373007	0.00090062	0.1280379
47400	-650.0788	-632.1516	-17.92719	0.3172601	0.998143	0.00180311	5.35088e-05	0.103235
47600	-655.9882	-638.8998	-17.08841	0.3308485	0.995401	0.00310838	0.00149049	0.02781698
47800	-651.2081	-634.3006	-16.90751	0.3324228	0.99428	0.00378596	0.00193368	0.01124797
48000	-650.3158	-632.6517	-17.66411	0.2803127	0.996594	0.00152581	0.00188045	0.1133033
48200	-648.1944	-631.8986	-16.29581	0.2694464	0.997006	0.00227901	0.000715268	0.0126993
48400	-655.7435	-637.9406	-17.80295	0.3140013	0.986618	0.00778942	0.00559211	0.09861486
48600	-659.2086	-641.8499	-17.35876	0.323631	0.98272	0.0025006	0.0147792	0.05565575
48800	-653.0186	-636.0588	-16.95979	0.3189385	0.995427	0.00042765	0.00414546	0.0270696
49000	-650.7578	-633.1971	-17.56072	0.2942739	0.997362	0.00256261	7.53841e-05	0.09251791
49200	-651.157	-632.1605	-18.99652	0.3466796	0.998034	0.00105142	0.000914325	0.170987
49400	-650.869	-632.9724	-17.89665	0.2959046	0.978697	0.00638056	0.0149228	0.1191885
49600	-646.2355	-628.7113	-17.52421	0.3491192	0.999438	4.46949e-05	0.000517196	0.04841775
