Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
31800	-302.654	-270.084	-32.56997	3.355839	0.1245	0.297018	0.578482	0.295362	0.321336	0.191651	0.191651	0.2098998
32000	-305.178	-278.5746	-26.60342	2.686704	0.101088	0.302874	0.596038	0.250241	0.300135	0.224812	0.224812	0.2749731
32200	-302.6983	-275.5872	-27.11106	2.938939	0.149243	0.502965	0.347792	0.228827	0.287209	0.241982	0.241982	0.08009815
32400	-303.7359	-282.4934	-21.24248	2.406406	0.143651	0.478156	0.378193	0.231022	0.288623	0.240177	0.240177	0.02705455
32600	-300.3886	-271.9651	-28.42349	2.929502	0.150997	0.341985	0.507018	0.306293	0.325314	0.184197	0.184197	0.2199616
32800	-300.9741	-269.3893	-31.58484	3.417864	0.119723	0.409471	0.470806	0.226237	0.285514	0.244125	0.244125	0.05178564
33000	-300.014	-276.0678	-23.94621	2.643409	0.133235	0.296722	0.570043	0.309879	0.326525	0.181798	0.181798	0.05934358
33200	-301.1248	-272.6223	-28.50247	3.097917	0.149479	0.394429	0.456092	0.274824	0.312664	0.206256	0.206256	0.06108586
33400	-299.4987	-271.2361	-28.26262	3.055798	0.106256	0.340138	0.553607	0.238032	0.293002	0.234483	0.234483	0.08046387
33600	-305.3795	-274.4235	-30.95603	3.314829	0.139894	0.478441	0.381664	0.226243	0.285518	0.24412	0.24412	0.09422026
33800	-298.1636	-274.2731	-23.89043	2.687492	0.14048	0.359079	0.500441	0.281208	0.315531	0.201631	0.201631	0.01157691
34000	-298.9706	-269.098	-29.87262	3.247747	0.145846	0.291226	0.562928	0.333689	0.333422	0.166445	0.166445	0.04852699
34200	-301.3619	-273.0625	-28.29938	3.139775	0.128258	0.305026	0.566716	0.296014	0.321586	0.1912	0.1912	0.0002796118
34400	-303.2315	-264.3143	-38.91717	4.058683	0.123376	0.294393	0.582232	0.295321	0.32132	0.19168	0.19168	0.1408936
34600	-302.7	-265.6893	-37.01074	3.906977	0.0979245	0.24344	0.658635	0.286862	0.31794	0.197599	0.197599	0.1031372
34800	-299.2014	-274.6061	-24.5953	2.653539	0.154919	0.39354	0.451541	0.282463	0.316075	0.200731	0.200731	0.1148589
35000	-298.9301	-271.7438	-27.18633	2.975488	0.12818	0.332599	0.539221	0.278181	0.314191	0.203814	0.203814	0.05199485
35200	-305.6252	-264.129	-41.49621	4.361699	0.135961	0.368344	0.495695	0.269601	0.310202	0.210099	0.210099	0.09846995
35400	-299.2822	-269.728	-29.55418	3.253147	0.141562	0.36871	0.489728	0.277424	0.31385	0.204363	0.204363	0.01211274
35600	-298.957	-275.243	-23.71407	2.641603	0.14395	0.38411	0.471941	0.272601	0.311629	0.207885	0.207885	0.03876711
35800	-299.866	-272.4161	-27.44989	3.021948	0.140097	0.322257	0.537646	0.303007	0.324164	0.186415	0.186415	0.03347777
36000	-300.2607	-273.4644	-26.79631	2.815797	0.124966	0.300504	0.57453	0.293713	0.320698	0.192794	0.192794	0.1699527
36200	-302.9349	-278.6568	-24.27801	2.550648	0.109564	0.372703	0.517733	0.227186	0.286139	0.243338	0.243338	0.1859588
36400	-298.2642	-270.8097	-27.45455	3.01497	0.115507	0.308189	0.576305	0.272617	0.311637	0.207873	0.207873	0.04021056
36600	-303.8606	-276.5591	-27.30154	2.605754	0.160192	0.295082	0.544726	0.351857	0.337393	0.155375	0.155375	0.4246086
36800	-297.9164	-271.9089	-26.00746	2.871958	0.140966	0.362118	0.496915	0.280204	0.31509	0.202353	0.202353	0.0387699
37000	-301.2158	-276.5539	-24.66182	2.725429	0.172411	0.473067	0.354523	0.267106	0.308988	0.211953	0.211953	0.05128309
37200	-307.8641	-281.8162	-26.04792	2.371813	0.183428	0.577807	0.238764	0.240961	0.29477	0.232134	0.232134	0.5207181
37400	-299.9461	-278.1006	-21.84542	2.490209	0.148672	0.429587	0.421741	0.257103	0.303875	0.219511	0.219511	0.004356051
37600	-302.597	-275.0568	-27.54026	2.996034	0.163854	0.294809	0.541337	0.357243	0.338363	0.152197	0.152197	0.06749454
37800	-297.6235	-270.6974	-26.9261	2.9839	0.128507	0.331678	0.539815	0.279251	0.314668	0.20304	0.20304	0.01871302
38000	-300.5782	-271.6666	-28.91163	3.102498	0.155215	0.433886	0.410899	0.263478	0.30718	0.214671	0.214671	0.1006322
38200	-303.0073	-268.7126	-34.2947	3.522172	0.133421	0.274716	0.591862	0.326903	0.331656	0.170721	0.170721	0.2171149
38400	-300.1169	-274.4084	-25.70852	2.771696	0.127967	0.292077	0.579956	0.304651	0.324744	0.185302	0.185302	0.106887
38600	-303.3324	-281.4905	-21.84185	2.364396	0.190705	0.479278	0.330017	0.284641	0.317008	0.199175	0.199175	0.1278137
38800	-299.4746	-270.3866	-29.088	3.202873	0.142934	0.357013	0.500053	0.285898	0.317537	0.198283	0.198283	0.01564161
39000	-298.6248	-273.5183	-25.10651	2.748694	0.133088	0.304322	0.56259	0.304264	0.324608	0.185564	0.185564	0.07110508
39200	-301.2407	-277.2721	-23.96864	2.560797	0.145938	0.314432	0.539631	0.317001	0.328795	0.177102	0.177102	0.1420976
39400	-300.1642	-275.793	-24.37121	2.725208	0.152192	0.48677	0.361038	0.238186	0.293095	0.23436	0.23436	0.02198441
39600	-302.2336	-280.3953	-21.8383	2.455367	0.15588	0.706523	0.137596	0.180751	0.250824	0.284213	0.284213	0.03708983
39800	-303.3203	-275.6824	-27.63797	2.984703	0.117637	0.372726	0.509637	0.239898	0.294132	0.232985	0.232985	0.08543103
40000	-299.8673	-275.1642	-24.70313	2.760111	0.138876	0.427021	0.434103	0.245408	0.297385	0.228603	0.228603	0.02081779
40200	-301.8487	-270.3586	-31.49011	3.421037	0.121271	0.237291	0.641437	0.338215	0.334514	0.163635	0.163635	0.03723763
40400	-299.2895	-275.4205	-23.86903	2.687669	0.165956	0.335054	0.49899	0.331243	0.332803	0.167977	0.167977	0.00936644
