Iteration	Posterior	Likelihood	Prior	branch_rates	root_freq[1]	root_freq[2]	root_freq[3]	root_freq[4]	speciation_rate
35200	-292.2433	-279.0603	-13.183	1.717548	0.0700634	0.0158769	0.253461	0.660599	0.01960711
35400	-291.1806	-281.6808	-9.499819	1.357122	0.074853	0.0299462	0.732881	0.16232	0.01223397
35600	-289.8216	-279.8546	-9.966997	1.416258	0.0372604	0.0382384	0.597499	0.327002	0.0003911794
35800	-290.6839	-280.1491	-10.53479	1.283277	0.00457659	0.0560461	0.757425	0.181952	0.182363
36000	-291.918	-279.6318	-12.28617	1.585755	0.0070909	0.195972	0.655083	0.141855	0.06089699
36200	-288.4359	-278.8839	-9.552012	1.33211	0.0144323	0.016676	0.543074	0.425818	0.04087923
36400	-289.9096	-280.5953	-9.314345	1.345424	0.0488057	0.00244014	0.0848613	0.863893	0.005843792
36600	-293.2648	-279.0009	-14.26386	1.827046	0.0818707	0.020452	0.350193	0.547484	0.01897709
36800	-289.8985	-278.572	-11.32651	1.46552	0.0342606	0.0161494	0.756291	0.193299	0.0835753
37000	-291.7834	-278.8498	-12.93368	1.668774	0.00679874	0.13248	0.797654	0.0630673	0.04386746
37200	-299.127	-286.7589	-12.36811	1.327398	0.0666004	0.436586	0.259357	0.237456	0.3133464
37400	-290.0815	-279.8102	-10.27134	1.436641	0.0481155	0.0381021	0.567933	0.34585	0.01018828
37600	-293.2503	-279.7211	-13.52927	1.478616	0.00312238	0.0793432	0.78198	0.135555	0.2819103
37800	-291.8406	-283.7279	-8.112753	1.164859	0.0212439	0.137845	0.194741	0.64617	0.06300245
38000	-294.8428	-280.9134	-13.92945	1.374232	0.0144669	0.108685	0.0378195	0.839029	0.4233756
38200	-290.056	-280.9186	-9.13741	1.328502	0.00704408	0.133969	0.358891	0.500096	0.004950607
38400	-295.2442	-279.6753	-15.56887	1.827362	0.00935378	0.177887	0.228092	0.584667	0.1443753
38600	-295.9737	-281.4468	-14.52694	1.48725	0.0439508	0.0488426	0.649076	0.25813	0.3690044
38800	-290.7378	-280.251	-10.48684	1.382884	0.0195683	0.0406819	0.722335	0.217415	0.08283102
39000	-290.9013	-280.2282	-10.67313	1.286489	0.011966	0.0806653	0.0642317	0.843137	0.1918231
39200	-290.4764	-280.8976	-9.578832	1.275149	0.0015397	0.0810339	0.0153883	0.902038	0.09930577
39400	-293.7888	-281.1245	-12.66434	1.545158	0.00971862	0.0658227	0.292353	0.632106	0.130009
39600	-290.8872	-279.8197	-11.06757	1.392337	0.0150178	0.0034218	0.901549	0.0800114	0.1254267
39800	-291.6904	-278.7842	-12.90622	1.448646	0.0185521	0.0543626	0.387803	0.539282	0.2488338
40000	-295.0593	-283.7089	-11.3504	1.261061	0.0179401	0.00394399	0.383548	0.594568	0.2749331
40200	-289.6099	-280.3703	-9.2396	1.313882	0.0180991	0.0505434	0.35956	0.571797	0.02901337
40400	-291.7175	-279.6266	-12.09086	1.528739	0.0225847	0.0999767	0.820249	0.0571895	0.0953518
40600	-292.2972	-284.2436	-8.053626	1.18726	0.0783832	0.0839365	0.809561	0.0281193	0.03605823
40800	-293.2479	-282.3384	-10.90947	1.481063	0.109629	0.00763475	0.354908	0.527828	0.02980108
41000	-290.3196	-280.5127	-9.806848	1.396007	0.0180731	0.0805353	0.217859	0.683533	0.0044863
41200	-290.8072	-279.6561	-11.15102	1.45846	0.0431874	0.0803217	0.562258	0.314233	0.07380026
41400	-290.1215	-279.7173	-10.40425	1.402677	0.0328501	0.0706429	0.298512	0.597995	0.05467004
41600	-294.5099	-280.2015	-14.30841	1.660395	0.0500521	0.0129548	0.364714	0.572279	0.1806852
41800	-290.9041	-278.8477	-12.05636	1.435966	0.00695429	0.0777288	0.163555	0.751762	0.1826755
42000	-290.516	-281.7245	-8.791541	1.244825	0.0582069	0.0359836	0.861258	0.0445519	0.05127317
42200	-290.5176	-281.14	-9.377694	1.262643	0.0621758	0.0166734	0.383257	0.537894	0.09018734
42400	-289.1316	-279.0636	-10.06794	1.417761	0.0216837	0.0353762	0.396662	0.546279	0.008642677
42600	-292.9501	-279.8362	-13.11391	1.517611	0.00667392	0.0563505	0.699958	0.237018	0.2004739
42800	-291.5433	-280.1649	-11.37832	1.529963	0.0571583	0.105815	0.73096	0.106066	0.02637465
43000	-293.6096	-283.1182	-10.49134	1.445012	0.0580423	0.246622	0.229739	0.465598	0.02359519
43200	-295.9323	-284.9442	-10.98812	1.431696	0.032862	0.359568	0.554055	0.0535152	0.08621614
43400	-295.8731	-290.3678	-5.505351	0.9351148	0.0108457	0.194513	0.478144	0.316497	0.03374813
43600	-291.8939	-279.5298	-12.36417	1.654787	0.0248433	0.133536	0.770003	0.0716177	0.001571648
43800	-302.9548	-290.218	-12.73676	1.101778	0.10847	0.14136	0.608984	0.141185	0.5792153
44000	-292.4289	-280.1251	-12.30374	1.614155	0.0825713	0.00461621	0.0102852	0.902527	0.0349857
44200	-290.6233	-279.5772	-11.04612	1.3177	0.0202793	0.00590902	0.928368	0.0454437	0.1983103
44400	-291.1556	-279.2056	-11.94999	1.410657	0.0317816	0.0322111	0.0619527	0.874055	0.1952113
44600	-299.5587	-286.4263	-13.13241	1.621786	0.160577	0.217929	0.00934661	0.612148	0.1022026
44800	-292.2494	-284.1057	-8.143701	1.189356	0.0605297	0.131479	0.06008	0.747911	0.04269942
45000	-290.7778	-279.6374	-11.14038	1.50806	0.00445113	0.184325	0.750759	0.0604652	0.02492486
45200	-291.0514	-280.6047	-10.44672	1.276657	0.00506007	0.0497332	0.339493	0.605714	0.1823556
45400	-291.7526	-281.2964	-10.45624	1.367063	0.0299083	0.139017	0.431987	0.399089	0.09416059
45600	-291.3459	-279.4327	-11.91313	1.420042	0.0569642	0.00687137	0.599163	0.337001	0.1842383
45800	-290.4695	-280.4883	-9.981173	1.288736	0.00860072	0.0097113	0.062629	0.919059	0.1204906
46000	-296.6413	-284.4502	-12.19108	1.638787	0.0345856	0.0569647	0.0613471	0.847103	0.0002731085
46200	-291.256	-279.0987	-12.15723	1.605713	0.085134	0.0122737	0.00385032	0.898742	0.02887945
46400	-291.2213	-282.8181	-8.403201	1.162497	0.0249577	0.0265077	0.27386	0.674675	0.09318909
46600	-292.3499	-279.4506	-12.89931	1.635264	0.0616443	0.0548653	0.15189	0.7316	0.07111557
46800	-291.4336	-281.5096	-9.92403	1.355886	0.0251619	0.0369125	0.718229	0.219697	0.05327434
47000	-289.0822	-278.3384	-10.74385	1.46015	0.00109314	0.0431043	0.367324	0.588479	0.03284515
47200	-291.6043	-279.4612	-12.14311	1.572441	0.08785	0.0186197	0.729894	0.163636	0.05934636
