Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
39600	-292.9772	-275.714	-17.26319	1.980101	0.247933	0.00254677	0.749521	0.05468477
39800	-294.8032	-274.7752	-20.02802	2.207491	0.158735	0.0324484	0.808817	0.1028621
40000	-296.4428	-276.4447	-19.99818	2.238789	0.188702	0.0430835	0.768215	0.07023172
40200	-296.1505	-282.656	-13.49455	1.535212	0.255088	0.0194214	0.72549	0.1201485
40400	-298.2724	-275.5908	-22.68157	2.568385	0.199673	0.0431386	0.757189	0.009880611
40600	-296.0119	-269.5555	-26.45643	2.924664	0.155073	0.024241	0.820686	0.03045602
40800	-292.5828	-277.1655	-15.41729	1.843915	0.220432	0.0432514	0.736317	0.007677588
41000	-297.5381	-271.0654	-26.47262	2.860029	0.123487	0.0228323	0.853681	0.09554446
41200	-295.0484	-275.644	-19.40438	2.178804	0.171901	0.0748536	0.753245	0.0700957
41400	-294.9493	-280.9144	-14.03485	1.670852	0.22404	0.014218	0.761742	0.04139852
41600	-298.33	-266.8533	-31.47671	3.205478	0.144301	0.0191296	0.836569	0.247342
41800	-292.8786	-273.9402	-18.9384	2.093751	0.207559	0.00477949	0.787661	0.1073247
42000	-297.9648	-273.4554	-24.50938	2.701241	0.13937	0.168732	0.691898	0.05984063
42200	-293.803	-280.7057	-13.0973	1.499214	0.229632	0.0123688	0.758	0.1153945
42400	-293.3019	-278.5155	-14.7864	1.725373	0.262344	0.0196164	0.718039	0.06102523
42600	-294.3149	-273.9524	-20.36257	2.285359	0.216679	0.0483646	0.734956	0.05924518
42800	-292.7219	-278.4681	-14.25372	1.719215	0.230758	0.0278797	0.741362	0.01573893
43000	-297.7572	-287.3799	-10.37726	1.286603	0.247969	0.0231491	0.728882	0.05790333
43200	-292.3322	-277.3481	-14.98414	1.749248	0.195954	0.000262877	0.803783	0.05725258
43400	-295.4015	-282.5767	-12.8248	1.589178	0.285761	0.0030917	0.711147	0.003270718
43600	-292.7197	-275.9101	-16.80957	1.949641	0.202416	0.0229849	0.774599	0.04040313
43800	-298.5017	-277.4532	-21.04857	2.400989	0.19839	0.369962	0.431647	0.01362687
44000	-297.9946	-266.314	-31.68066	3.363372	0.137478	0.283762	0.57876	0.1136086
44200	-293.8408	-276.2991	-17.54174	1.957928	0.227504	0.0420972	0.730398	0.103452
44400	-295.6369	-284.2658	-11.37111	1.442671	0.213419	0.000924976	0.785656	0.004316543
44600	-297.0057	-269.0119	-27.99381	3.015075	0.154218	0.104429	0.741353	0.09319269
44800	-293.5031	-278.7229	-14.78022	1.645857	0.233705	0.00786728	0.758428	0.1358024
45000	-294.0523	-280.6739	-13.37843	1.57102	0.211222	0.00489567	0.783882	0.07406115
45200	-300.1283	-277.9744	-22.15396	2.504352	0.224543	0.119007	0.65645	0.0210162
45400	-296.2762	-279.0589	-17.21733	1.953026	0.263948	0.0343354	0.701716	0.07595261
45600	-295.6115	-280.1786	-15.43294	1.811958	0.244077	0.0499325	0.70599	0.04061585
45800	-301.6062	-287.5331	-14.07309	1.614876	0.268823	0.0239562	0.707221	0.09763429
46000	-294.3658	-275.193	-19.17274	2.173825	0.186201	0.020575	0.793224	0.05181286
46200	-294.8193	-276.6024	-18.21687	1.884385	0.223724	0.0389751	0.737301	0.2388179
46400	-294.0942	-273.8679	-20.22629	2.14468	0.1827	0.0290151	0.788284	0.1818935
46600	-298.5815	-281.4958	-17.08571	1.955257	0.181966	0.158646	0.659388	0.06231917
46800	-296.9923	-276.0658	-20.9265	2.150667	0.157222	0.025061	0.817717	0.2421525
47000	-293.2905	-278.0852	-15.20524	1.80813	0.245051	0.0279692	0.72698	0.02187017
47200	-295.701	-277.9702	-17.7308	1.995615	0.190499	0.126103	0.683398	0.08495941
47400	-293.6905	-280.8901	-12.80039	1.52405	0.235941	0.0248285	0.73923	0.06344926
47600	-294.7926	-278.9637	-15.82885	1.825841	0.259924	0.0552863	0.68479	0.06484028
47800	-294.6597	-278.4729	-16.18677	1.836146	0.196047	0.0235083	0.780444	0.09007866
48000	-292.2932	-276.6501	-15.6431	1.794156	0.246174	0.00907388	0.744752	0.07749173
48200	-297.7875	-281.9664	-15.82113	1.85941	0.170324	0.0208244	0.808852	0.03232645
48400	-294.5481	-274.1424	-20.40577	2.305789	0.179154	0.0640674	0.756778	0.04395866
48600	-293.9345	-275.7612	-18.17329	1.921729	0.223984	0.00959818	0.766417	0.1999991
48800	-299.1025	-279.4992	-19.60332	2.241185	0.252984	0.0645074	0.682509	0.0287554
49000	-293.7918	-276.1993	-17.59253	2.068025	0.202539	0.0386697	0.758792	0.001308015
49200	-293.5211	-272.7555	-20.76562	2.322776	0.205708	0.00197351	0.792318	0.06282452
49400	-292.6086	-276.4426	-16.16607	1.794148	0.200659	0.00273611	0.796605	0.1280196
49600	-292.8506	-270.8081	-22.04243	2.431979	0.168165	0.00639168	0.825443	0.08043648
49800	-294.3912	-273.0507	-21.34055	2.199735	0.181932	0.0170502	0.801018	0.2380071
50000	-294.8224	-275.3158	-19.5066	2.1401	0.211013	0.0273819	0.761605	0.1180617
50200	-293.4758	-274.5115	-18.96431	2.154918	0.183945	0.0129026	0.803152	0.0502677
50400	-301.9528	-272.2074	-29.74533	3.081978	0.120562	0.226518	0.652921	0.2079299
50600	-294.3898	-279.5707	-14.81907	1.786959	0.234315	0.0539945	0.71169	0.004842438
50800	-293.4726	-283.0206	-10.45204	1.328553	0.263967	0.00638818	0.729645	0.02545949
51000	-296.4012	-279.2397	-17.16148	1.982844	0.25536	0.0729051	0.671735	0.04238802
51200	-292.8782	-277.9013	-14.97686	1.781369	0.225045	0.019496	0.755459	0.02551255
51400	-293.5177	-278.0553	-15.46243	1.828589	0.229751	0.00332785	0.766922	0.02653201
51600	-298.6985	-273.4531	-25.24537	2.53653	0.151608	0.196856	0.651535	0.291679
51800	-292.8617	-277.6794	-15.18227	1.73683	0.259238	0.00341849	0.737344	0.08868273
52000	-293.1577	-273.2414	-19.91626	2.223443	0.210222	0.00358716	0.786191	0.07632488
52200	-303.3473	-279.4504	-23.89693	2.458503	0.128826	0.377102	0.494072	0.2466893
52400	-292.9363	-276.987	-15.94923	1.836025	0.245206	0.00197693	0.752817	0.0664963
52600	-297.0972	-273.4926	-23.60453	2.650908	0.178498	0.296381	0.52512	0.01973498
52800	-292.6927	-274.0309	-18.66181	2.160111	0.203443	0.0174605	0.779097	0.01586483
53000	-292.7582	-275.6929	-17.06537	1.943119	0.224308	0.000260567	0.775432	0.07165128
53200	-296.4009	-282.6037	-13.79717	1.486819	0.28537	0.00549308	0.709137	0.1980424
53400	-294.7564	-273.2414	-21.51496	2.407599	0.170649	0.00904031	0.820311	0.05235699
53600	-295.0314	-279.4611	-15.57034	1.853712	0.233289	0.0924055	0.674305	0.01296098
53800	-296.8536	-270.1935	-26.6601	2.969189	0.138896	0.337283	0.523821	0.007021787
54000	-292.8959	-272.2193	-20.67655	2.355718	0.166153	0.0169807	0.816866	0.02152964
54200	-295.7235	-274.8423	-20.88125	2.343846	0.156247	0.0905977	0.753155	0.05267947
54400	-295.552	-275.8339	-19.71801	2.277775	0.195096	0.0752571	0.729647	0.004041599
54600	-297.4632	-267.6821	-29.78106	3.160925	0.136544	0.254415	0.609041	0.1277658
54800	-291.2301	-278.0696	-13.16053	1.62511	0.242202	0.00735177	0.750446	0.001014547
